e.name,e.internal_id
DEVICE INC.,18763
DEVON EQUITIES S.A.,17185
HORACE OVERSEAS S.A.,16603
PENLER ENTERPRISES INC.,2001598
HYUNDAI DEL ECUADOR-ZONA FRANCA INC.,18897
JEBAND INC.,18764
STICKS INC.,18771
SLOPE S.A.,16605
FONDECSA  INVESTMENTS S.A.     FG-59,13821
Nibu Corp.,2001076
TIZIANA INC.,14789
RILBAY HOLDINGS S.A.,17164
ROBECO CORPORATION LTD.,200163
IDEA RESOURCE TRADING CO. LTD,2003222
"PERFECT SUPPLIERS IMPORT AND EXPORT CO., LIMITED",2003230
CHALLENTECH INTERNATIONAL CORPORATION,16335
T & W ENTERPRISE CORP.,16337
DEANA EQUITIES CORP.,17218
ALAYDYS TRADING INC.,17226
SPRING GREEN HOLDINGS LTD.,2003248
"QINGDAO TAIYO TEXTILE CO., LTD.",2003260
GABLES MANAGEMENT INC.,14768
HEATHCLIFF PROPERTIES S.A.,14844
HONOR GLORY INTERNATIONAL CORP.,16890
DRAGON CENTURY INTERNATIONAL CORPORATION,16520
FARRANT INVESTMENTS CORP.,18914
BATLETA INC.,17013
LANA ASSOCIATES CORP.,14496
LALAGE HOLDINGS INC.,18255
EARTH TEC INC.,18942
"OCEAN KING PROPERTIES CO., LIMITED",2003262
CALVER CONSULTANTS INC.,2000042
WOODGRANGE HOLDINGS CORP.,15858
GLOBAL INTERNATIONAL DEVELOPMENT CORP.,16912
RADFORD OVERSEAS S.A.,18311
BLUE OCEAN FINANCE LTD. S.A.,16981
DAMARLA INC.,17015
FARMALA INC.,17017
SHERVILLE INTERNATIONAL S.A.,17247
MIREN TRADING S.A.,15924
PORTMAN SQUARE MANAGEMENT S.A.,16177
ACCENT DEVELOPMENT INC.,18929
INMOBILIARIA PANVIS S.A.,1821
PENDANT INVESTMENTS CORP.,15963
HENDRY ENTERPRISES S. A.,15926
HERALD EQUITIES S.A.,15932
VERVE ASSOCIATES S.A.,15965
PROSSER INVESTMENT CORPORATION,18212
CASTLETOWN PROPERTY CORP.,17358
XIN LIAN SHIPPING ENTERPRISES INCORPORATION,13898
WARRENHILL EQUITIES S.A.,17295
ATLANTIC MINERAL FINANCIAL INC.,17365
BELSON PROPERTIES INC.,13833
DION EQUITIES CORPORATION,18941
"QINGDAO HAITAO PLASTIC PRODUCT CO., LTD",2001272
"Shoven Co., Limited",2001278
"SULEIMAN HOLDINGS, INC.",170
DORCASIA CORPORATION,15667
BREAKWATER ENTERPRISES S.A.,15933
BOSTON INVESTMENTS ASSOCIATED CORP.,18948
"YIJIA INTERNATIONAL TRADING CO., LTD.",2001307
DUDLESCA INC.,18279
"YUASA TRADING CO., LTD.",2003281
POLON INC.,18806
HANWAY TRADING CORPORATION,17107
EXCELFIN INVEST LTD. CORP.,15771
BRIDGES OVERSEAS S.A.,17287
CORDERIC INC.,13713
IMP,16091
